,01. Frequency (Monobit) Test,02. Frequency Test within a Block,03. Runs Test,04. Test for the Longest Run of Ones in a Block,05. Binary Matrix Rank Test,06. Discrete Fourier Transform (Spectral) Test,07. Non-overlapping Template Matching Test,08. Overlapping Template Matching Test,"09. Maurer's ""Universal Statistical"" Test",10. Linear Complexity Test,11. Serial Test,12. Approximate Entropy Test,13. Cumulative Sums Test (Forward),14. Cumulative Sums Test (Backward),15. Random Excursions Test,16. Random Excursions Variant Test
All-black,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R
All-black_enc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
All-white,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,
All-white_enc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Baboon_R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Baboon_enc_R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Baboon_G,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Baboon_enc_G,R,R,R,R,R,R,R,R,R,NR,R,R,R,R,R,R
Baboon_B,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Baboon_enc_B,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Boat_R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Boat_enc_R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Boat_G,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Boat_enc_G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Boat_B,R,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Boat_enc_B,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Clock-5.1.12,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,R
Clock-5.1.12_enc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
F16_R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
F16_enc_R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
F16_G,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
F16_enc_G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
F16_B,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
F16_enc_B,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
House,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
House_enc,R,R,R,R,R,R,R,NR,R,R,R,R,R,R,R,R
kodim07_R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,R
kodim07_enc_R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
kodim07_G,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R
kodim07_enc_G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
kodim07_B,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R
kodim07_enc_B,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
kodim17_R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,R
kodim17_enc_R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
kodim17_G,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,R
kodim17_enc_G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
kodim17_B,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,R
kodim17_enc_B,R,R,NR,R,R,R,R,R,R,R,R,R,R,R,R,R
Man-5.3.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Man-5.3.01_enc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Peppers_R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Peppers_enc_R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Peppers_G,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Peppers_enc_G,R,NR,R,R,R,R,R,R,R,R,R,R,NR,NR,R,R
Peppers_B,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R
Peppers_enc_B,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ruler,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R
Ruler_enc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
