Test Data File:D:/中興大學/碩一下/高等成像顯示技術與應用/week9/作業/7112056007-ass06/binar/kodim17_enc_B_M2.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.5836919028346976  	Random
02. Frequency Test within a Block                 	0.27096479984973537 	Random
03. Runs Test                                     	0.005331331815832326	Non-Random
04. Test for the Longest Run of Ones in a Block   	0.46281693551602965 	Random
05. Binary Matrix Rank Test                       	0.8328875725444838  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.2997549107824605  	Random
07. Non-overlapping Template Matching Test        	0.8788577860798984  	Random
08. Overlapping Template Matching Test            	0.7594037481890912  	Random
09. Maurer's "Universal Statistical" Test         	0.13229161938213    	Random
10. Linear Complexity Test                        	0.8527564408248876  	Random
11. Serial Test:
													0.2877826218950192  	Random
													0.6221420746750027  	Random
12. Approximate Entropy Test                      	0.2820728306443912  	Random
13. Cumulative Sums Test (Forward)                	0.8790085464523087  	Random
14. Cumulative Sums Test (Backward)               	0.651308049463604   	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	5.576714450462708   	0.34960717163262833 	Random
				-3        	10.550183520827002  	0.06106506555270427 	Random
				-2        	6.089640365002683   	0.29759400516078127 	Random
				-1        	3.764974156278504   	0.5837252239418212  	Random
				+1        	2.837640620249316   	0.7249996288807925  	Random
				+2        	8.87873532801069    	0.11399985679648444 	Random
				+3        	10.12619568257829   	0.07173750117042406 	Random
				+4        	7.355595222371747   	0.19550873420416118 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	3620                	0.3222616909790288  	Random
				-8.0      	3673                	0.22152946313940514 	Random
				-7.0      	3668                	0.19495944903187234 	Random
				-6.0      	3536                	0.358496032873997   	Random
				-5.0      	3531                	0.31993227180702466 	Random
				-4.0      	3595                	0.15386270617910505 	Random
				-3.0      	3546                	0.1564530357771305  	Random
				-2.0      	3489                	0.1545295849887352  	Random
				-1.0      	3415                	0.1202931811661203  	Random
				+1.0      	3173                	0.15264613168493082 	Random
				+2.0      	2981                	0.028342129532670124	Random
				+3.0      	2813                	0.008673250807264476	Non-Random
				+4.0      	2775                	0.016604960232284274	Random
				+5.0      	2857                	0.07581881811858074 	Random
				+6.0      	2986                	0.25998888422930255 	Random
				+7.0      	2964                	0.266402424640499   	Random
				+8.0      	2977                	0.32058428623793445 	Random
				+9.0      	3105                	0.5821597507291129  	Random
