Test Data File:D:/中興大學/碩一下/高等成像顯示技術與應用/week9/作業/7112056007-ass06/binar/kodim17_enc_R_M2.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.21944696797795527 	Random
02. Frequency Test within a Block                 	0.857599625054274   	Random
03. Runs Test                                     	0.7821698708482414  	Random
04. Test for the Longest Run of Ones in a Block   	0.6324523541958376  	Random
05. Binary Matrix Rank Test                       	0.9886093883850764  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.22227853246966645 	Random
07. Non-overlapping Template Matching Test        	0.25671683732503897 	Random
08. Overlapping Template Matching Test            	0.425123382607663   	Random
09. Maurer's "Universal Statistical" Test         	0.8081404393812255  	Random
10. Linear Complexity Test                        	0.44606742574391234 	Random
11. Serial Test:
													0.6732834557280831  	Random
													0.8873922773224909  	Random
12. Approximate Entropy Test                      	0.5934828489969851  	Random
13. Cumulative Sums Test (Forward)                	0.17788530575101782 	Random
14. Cumulative Sums Test (Backward)               	0.38157243722456186 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	5.624711066837843   	0.3444645412243357  	Random
				-3        	9.449517525773194   	0.09242280422016876 	Random
				-2        	3.9875694709600773  	0.551207034909368   	Random
				-1        	5.934707903780069   	0.31262406677589427 	Random
				+1        	3.082474226804124   	0.6872723021015075  	Random
				+2        	3.128717491833185   	0.6801490694316814  	Random
				+3        	0.5354721649484537  	0.9907667999965545  	Random
				+4        	1.6157629052041604  	0.8993365983981503  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	213                 	0.43294203294671263 	Random
				-8.0      	206                 	0.362965706378511   	Random
				-7.0      	206                 	0.3284675876161549  	Random
				-6.0      	217                 	0.3550410753541503  	Random
				-5.0      	236                 	0.44728978310952117 	Random
				-4.0      	258                 	0.6051454516243269  	Random
				-3.0      	279                 	0.8239626587887058  	Random
				-2.0      	296                 	0.9047527311137638  	Random
				-1.0      	304                 	0.5899783963879482  	Random
				+1.0      	272                 	0.430945144527238   	Random
				+2.0      	251                 	0.33842718619961276 	Random
				+3.0      	244                 	0.3836082767375124  	Random
				+4.0      	249                 	0.5105255872047831  	Random
				+5.0      	265                 	0.7194118965523999  	Random
				+6.0      	300                 	0.9104409033324998  	Random
				+7.0      	317                 	0.7650088560490531  	Random
				+8.0      	318                 	0.7726023573066166  	Random
				+9.0      	331                 	0.6875832007839874  	Random
